"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Anguilla"
"7","Argentina"
"8","Armenia"
"9","Aruba"
"10","Australia"
"11","Austria"
"12","Azerbaijan"
"13","Bahamas"
"14","Bahrain"
"15","Bangladesh"
"16","Barbados"
"17","Belarus"
"18","Belgium"
"19","Belize"
"20","Benin"
"21","Bermuda"
"22","Bhutan"
"23","Bolivia"
"24","Botswana"
"25","Brazil"
"26","Brunei"
"27","Bulgaria"
"28","Burkina Faso"
"29","Burundi"
"30","Cambodia"
"31","Cameroon"
"32","Canada"
"33","Cape Verde"
"34","Cayman Islands"
"35","Central African Republic"
"36","Chad"
"37","Chile"
"38","China"
"39","Colombia"
"40","Comoros"
"41","Costa Rica"
"42","Cote d'Ivoire"
"43","Croatia"
"44","Cuba"
"45","Curacao"
"46","Cyprus"
"47","Czechia"
"48","Denmark"
"49","Djibouti"
"50","Dominica"
"51","Dominican Republic"
"52","Ecuador"
"53","Egypt"
"54","El Salvador"
"55","Equatorial Guinea"
"56","Eritrea"
"57","Estonia"
"58","Ethiopia"
"59","Falkland Islands"
"60","Fiji"
"61","Finland"
"62","France"
"63","Gabon"
"64","Gambia"
"65","Georgia"
"66","Germany"
"67","Ghana"
"68","Gibraltar"
"69","Greece"
"70","Greenland"
"71","Grenada"
"72","Guatemala"
"73","Guernsey"
"74","Guinea"
"75","Guinea-Bissau"
"76","Guyana"
"77","Haiti"
"78","Honduras"
"79","Hungary"
"80","Iceland"
"81","India"
"82","Indonesia"
"83","Iran"
"84","Iraq"
"85","Ireland"
"86","Isle of Man"
"87","Israel"
"88","Italy"
"89","Jamaica"
"90","Japan"
"91","Jersey"
"92","Jordan"
"93","Kazakhstan"
"94","Kenya"
"95","Kuwait"
"96","Kyrgyzstan"
"97","Laos"
"98","Latvia"
"99","Lebanon"
"100","Lesotho"
"101","Liberia"
"102","Libya"
"103","Liechtenstein"
"104","Lithuania"
"105","Luxembourg"
"106","Madagascar"
"107","Malawi"
"108","Malaysia"
"109","Maldives"
"110","Mali"
"111","Malta"
"112","Marshall Islands"
"113","Mauritania"
"114","Mauritius"
"115","Mexico"
"116","Moldova"
"117","Monaco"
"118","Mongolia"
"119","Montenegro"
"120","Montserrat"
"121","Morocco"
"122","Mozambique"
"123","Namibia"
"124","Nauru"
"125","Nepal"
"126","Netherlands"
"127","New Zealand"
"128","Nicaragua"
"129","Niger"
"130","Nigeria"
"131","Norway"
"132","Oman"
"133","Pakistan"
"134","Panama"
"135","Papua New Guinea"
"136","Paraguay"
"137","Peru"
"138","Philippines"
"139","Poland"
"140","Portugal"
"141","Qatar"
"142","Romania"
"143","Russia"
"144","Rwanda"
"145","Saint Helena"
"146","Samoa"
"147","San Marino"
"148","Saudi Arabia"
"149","Senegal"
"150","Serbia"
"151","Seychelles"
"152","Sierra Leone"
"153","Singapore"
"154","Slovakia"
"155","Slovenia"
"156","Solomon Islands"
"157","Somalia"
"158","South Africa"
"159","South Korea"
"160","South Sudan"
"161","Spain"
"162","Sri Lanka"
"163","Sudan"
"164","Suriname"
"165","Sweden"
"166","Switzerland"
"167","Syria"
"168","Taiwan"
"169","Tajikistan"
"170","Tanzania"
"171","Thailand"
"172","Togo"
"173","Tonga"
"174","Tunisia"
"175","Turkey"
"176","Uganda"
"177","Ukraine"
"178","United Arab Emirates"
"179","United Kingdom"
"180","United States"
"181","Uruguay"
"182","Uzbekistan"
"183","Vanuatu"
"184","Vatican"
"185","Venezuela"
"186","Vietnam"
"187","Yemen"
"188","Zambia"
"189","Zimbabwe"
